Food_ID,Food Name and Description,Scientific Name,Alternate/Common Name(s),Edible Portion,Energy (kcal),Protein (g),Fat (g),Carbs (g)
R041,"Corned beef hash, cnd",N/A,N/A,100%,104,8.4,3.1,10.7
R042,"Duck meat, pato tim, cnd",N/A,"Pato tim, de lata",100%,134,11.0,8.7,2.8
R045,"Meat ball & quail egg, sw & sr sce, cnd",N/A,N/A,100%,207,9.8,13.1,12.4
R047,"Pork & chicken adobo, cnd",N/A,N/A,100%,189,14.5,14.6,0.0
R050,"Pork adobo, cnd",N/A,N/A,100%,277,10.3,24.8,3.1
R051,"Pork adobo, w/ egg, cnd",N/A,N/A,-,261,13.4,20.2,6.3
R052,"Pork afritada, cnd",N/A,"Apritadang baboy, de lata",100%,123,6.3,8.1,6.3
R053,"Pork blood stew, cnd",N/A,"Dinuguan baboy, de lata",-,155,14.8,10.6,0.0
R054,"Pork humba, cnd",N/A,N/A,100%,127,7.1,4.7,14.0
R055,"Pork leg w/ mushroom sce, cnd",N/A,N/A,89%,271,7.7,19.7,15.7
R056,"Pork leg, mushroom & chestnut, cnd",N/A,N/A,-,228,12.0,19.6,0.8
R057,"Pork leg, pinaksiw, cnd",N/A,N/A,88%,188,13.1,12.1,6.6
R058,"Pork pastel, cnd",N/A,N/A,100%,147,8.8,10.4,4.6
R059,"Pork w/ black beans, cnd",N/A,"Baboy may tawsi, de lata",100%,215,11.2,16.2,6.1
R060,"Pork, roasted, pinaksiw, cnd",N/A,"Lechon paksiw, de lata",-,214,12.8,15.2,6.4
R061,"Roast beef hash, cnd",N/A,N/A,100%,201,15.0,12.0,8.2
R062,"Spring roll, beef, unckd",N/A,"Lumpia, baka, hindi luto",100%,202,7.6,1.2,40.3
R063,"Spring roll, chicken, unckd",N/A,"Lumpia, manok, hindi luto",100%,224,5.7,4.8,39.6
R064,"Spring roll, Shanghai, unckd",N/A,"Lumpia, Shanghai, hindi luto",100%,266,5.8,10.0,38.3
R065,"Chicken noodle broth, inst",N/A,N/A,100%,61,1.7,1.8,9.5
R066,"Soup, beans w/ bacon, cond, cnd",N/A,N/A,100%,50,2.6,0.6,8.6
R067,"Soup, beef & veg, cnd",N/A,N/A,100%,60,3.3,2.7,5.7
R068,"Soup, bird's nest (nido), cond, cnd",N/A,N/A,100%,45,1.3,2.1,5.3
R069,"Soup, chicken & asparagus, cnd",N/A,N/A,100%,20,2.1,0.6,1.5
